number,name,status
0687,PEP 687 – Isolating modules in the standard library,Accepted
0686,PEP 686 – Make UTF-8 mode default,Accepted
0685,PEP 685 – Comparison of extra names for optional distribution dependencies,Accepted
0684,PEP 684 – A Per-Interpreter GIL,Final
0683,"PEP 683 – Immortal Objects, Using a Fixed Refcount",Final
0682,PEP 682 – Format Specifier for Signed Zero,Final
0681,PEP 681 – Data Class Transforms,Final
0680,PEP 680 – tomllib: Support for Parsing TOML in the Standard Library,Final
0679,PEP 679 – Allow parentheses in assert statements,Draft
0678,PEP 678 – Enriching Exceptions with Notes,Final
0677,PEP 677 – Callable Type Syntax,Rejected
0676,PEP 676 – PEP Infrastructure Process,Active
0674,PEP 674 – Disallow using macros as l-values,Deferred
0675,PEP 675 – Arbitrary Literal String Type,Final
0673,PEP 673 – Self Type,Final
0672,PEP 672 – Unicode-related Security Considerations for Python,Active
0671,PEP 671 – Syntax for late-bound function argument defaults,Draft
0670,PEP 670 – Convert macros to functions in the Python C API,Final
0669,PEP 669 – Low Impact Monitoring for CPython,Final
0668,PEP 668 – Marking Python base environments as “externally managed”,Accepted
0667,PEP 667 – Consistent views of namespaces,Accepted
0666,PEP 666 – Reject Foolish Indentation,Rejected
0665,PEP 665 – A file format to list Python dependencies for reproducibility of an application,Rejected
0664,PEP 664 – Python 3.11 Release Schedule,Active
0663,"PEP 663 – Standardizing Enum str(), repr(), and format() behaviors",Rejected
0662,PEP 662 – Editable installs via virtual wheels,Rejected
0660,PEP 660 – Editable installs for pyproject.toml based builds (wheel based),Final
0659,PEP 659 – Specializing Adaptive Interpreter,Draft
0661,PEP 661 – Sentinel Values,Draft
0658,PEP 658 – Serve Distribution Metadata in the Simple Repository API,Accepted
0657,PEP 657 – Include Fine Grained Error Locations in Tracebacks,Final
0656,PEP 656 – Platform Tag for Linux Distributions Using Musl,Final
0655,PEP 655 – Marking individual TypedDict items as required or potentially-missing,Final
0654,PEP 654 – Exception Groups and except*,Final
0653,PEP 653 – Precise Semantics for Pattern Matching,Draft
0651,PEP 651 – Robust Stack Overflow Handling,Rejected
0652,PEP 652 – Maintaining the Stable ABI,Final
0650,PEP 650 – Specifying Installer Requirements for Python Projects,Withdrawn
0649,PEP 649 – Deferred Evaluation Of Annotations Using Descriptors,Accepted
0647,PEP 647 – User-Defined Type Guards,Final
0648,PEP 648 – Extensible customizations of the interpreter at startup,Rejected
0646,PEP 646 – Variadic Generics,Accepted
0643,PEP 643 – Metadata for Package Source Distributions,Final
0645,PEP 645 – Allow writing optional types as ,Withdrawn
0644,PEP 644 – Require OpenSSL 1.1.1 or newer,Final
0641,PEP 641 – Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
0642,PEP 642 – Explicit Pattern Syntax for Structural Pattern Matching,Rejected
0640,PEP 640 – Unused variable syntax,Rejected
0639,PEP 639 – Improving License Clarity with Better Package Metadata,Draft
0638,PEP 638 – Syntactic Macros,Draft
0636,PEP 636 – Structural Pattern Matching: Tutorial,Final
0634,PEP 634 – Structural Pattern Matching: Specification,Final
0637,PEP 637 – Support for indexing with keyword arguments,Rejected
0632,PEP 632 – Deprecate distutils module,Final
0633,PEP 633 – Dependency specification in pyproject.toml using an exploded TOML table,Rejected
0635,PEP 635 – Structural Pattern Matching: Motivation and Rationale,Final
0631,PEP 631 – Dependency specification in pyproject.toml based on PEP 508,Superseded
0630,PEP 630 – Isolating Extension Modules,Final
0629,PEP 629 – Versioning PyPI’s Simple API,Final
0628,PEP 628 – Add ,Final
0627,PEP 627 – Recording installed projects,Final
0626,PEP 626 – Precise line numbers for debugging and other tools.,Final
0624,PEP 624 – Remove Py_UNICODE encoder APIs,Final
0623,PEP 623 – Remove wstr from Unicode,Final
0625,PEP 625 – Filename of a Source Distribution,Accepted
0622,PEP 622 – Structural Pattern Matching,Superseded
0621,PEP 621 – Storing project metadata in pyproject.toml,Final
0620,PEP 620 – Hide implementation details from the C API,Withdrawn
0618,PEP 618 – Add Optional Length-Checking To zip,Final
0619,PEP 619 – Python 3.10 Release Schedule,Active
0615,PEP 615 – Support for the IANA Time Zone Database in the Standard Library,Final
0617,PEP 617 – New PEG parser for CPython,Final
0616,PEP 616 – String methods to remove prefixes and suffixes,Final
0614,PEP 614 – Relaxing Grammar Restrictions On Decorators,Final
0613,PEP 613 – Explicit Type Aliases,Final
0610,PEP 610 – Recording the Direct URL Origin of installed distributions,Final
0611,PEP 611 – The one million limit,Withdrawn
0608,PEP 608 – Coordinated Python release,Rejected
0609,PEP 609 – Python Packaging Authority (PyPA) Governance,Active
0612,PEP 612 – Parameter Specification Variables,Final
0607,PEP 607 – Reducing CPython’s Feature Delivery Latency,Final
0606,PEP 606 – Python Compatibility Version,Rejected
0605,PEP 605 – A rolling feature release stream for CPython,Rejected
0604,PEP 604 – Allow writing union types as ,Final
0603,PEP 603 – Adding a frozenmap type to collections,Draft
0601,PEP 601 – Forbid return/break/continue breaking out of finally,Rejected
0602,PEP 602 – Annual Release Cycle for Python,Active
0600,PEP 600 – Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
0599,PEP 599 – The manylinux2014 Platform Tag,Superseded
0598,PEP 598 – Introducing incremental feature releases,Withdrawn
0597,PEP 597 – Add optional EncodingWarning,Final
0595,PEP 595 – Improving bugs.python.org,Withdrawn
0596,PEP 596 – Python 3.9 Release Schedule,Active
0594,PEP 594 – Removing dead batteries from the standard library,Final
0593,PEP 593 – Flexible function and variable annotations,Final
0592,PEP 592 – Adding “Yank” Support to the Simple API,Final
0591,PEP 591 – Adding a final qualifier to typing,Final
0590,PEP 590 – Vectorcall: a fast calling protocol for CPython,Accepted
0589,PEP 589 – TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final
0588,PEP 588 – GitHub Issues Migration Plan,Draft
0587,PEP 587 – Python Initialization Configuration,Final
0586,PEP 586 – Literal Types,Final
0585,PEP 585 – Type Hinting Generics In Standard Collections,Final
0584,PEP 584 – Add Union Operators To dict,Final
0583,PEP 583 – A Concurrency Memory Model for Python,Withdrawn
0582,PEP 582 – Python local packages directory,Rejected
0581,PEP 581 – Using GitHub Issues for CPython,Final
0578,PEP 578 – Python Runtime Audit Hooks,Final
0580,PEP 580 – The C call protocol,Rejected
0579,PEP 579 – Refactoring C functions and methods,Final
0577,PEP 577 – Augmented Assignment Expressions,Withdrawn
0576,PEP 576 – Rationalize Built-in function classes,Withdrawn
0575,PEP 575 – Unifying function/method classes,Withdrawn
0574,PEP 574 – Pickle protocol 5 with out-of-band data,Final
0573,PEP 573 – Module State Access from C Extension Methods,Final
0569,PEP 569 – Python 3.8 Release Schedule,Active
0572,PEP 572 – Assignment Expressions,Final
0571,PEP 571 – The manylinux2010 Platform Tag,Superseded
0570,PEP 570 – Python Positional-Only Parameters,Final
0568,PEP 568 – Generator-sensitivity for Context Variables,Deferred
0567,PEP 567 – Context Variables,Final
0566,PEP 566 – Metadata for Python Software Packages 2.1,Final
0565,PEP 565 – Show DeprecationWarning in __main__,Final
0564,PEP 564 – Add new time functions with nanosecond resolution,Final
0562,PEP 562 – Module __getattr__ and __dir__,Final
0563,PEP 563 – Postponed Evaluation of Annotations,Accepted
0561,PEP 561 – Distributing and Packaging Type Information,Final
0560,PEP 560 – Core support for typing module and generic types,Final
0558,PEP 558 – Defined semantics for locals(),Withdrawn
0559,PEP 559 – Built-in noop(),Rejected
0557,PEP 557 – Data Classes,Final
0556,PEP 556 – Threaded garbage collection,Deferred
0555,PEP 555 – Context-local variables (contextvars),Withdrawn
0553,PEP 553 – Built-in breakpoint(),Final
0554,PEP 554 – Multiple Interpreters in the Stdlib,Superseded
0552,PEP 552 – Deterministic pycs,Final
0551,PEP 551 – Security transparency in the Python runtime,Withdrawn
0550,PEP 550 – Execution Context,Withdrawn
0549,PEP 549 – Instance Descriptors,Rejected
0548,PEP 548 – More Flexible Loop Control,Rejected
0547,PEP 547 – Running extension modules using the -m option,Deferred
0546,PEP 546 – Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
0545,PEP 545 – Python Documentation Translations,Final
0544,PEP 544 – Protocols: Structural subtyping (static duck typing),Final
0543,PEP 543 – A Unified TLS API for Python,Withdrawn
0542,PEP 542 – Dot Notation Assignment In Function Header,Rejected
0541,PEP 541 – Package Index Name Retention,Final
0540,PEP 540 – Add a new UTF-8 Mode,Final
0538,PEP 538 – Coercing the legacy C locale to a UTF-8 based locale,Final
0539,PEP 539 – A New C-API for Thread-Local Storage in CPython,Final
0537,PEP 537 – Python 3.7 Release Schedule,Final
0535,PEP 535 – Rich comparison chaining,Deferred
0536,PEP 536 – Final Grammar for Literal String Interpolation,Withdrawn
0534,PEP 534 – Improved Errors for Missing Standard Library Modules,Deferred
0533,PEP 533 – Deterministic cleanup for iterators,Deferred
0531,PEP 531 – Existence checking operators,Withdrawn
0530,PEP 530 – Asynchronous Comprehensions,Final
0529,PEP 529 – Change Windows filesystem encoding to UTF-8,Final
0532,PEP 532 – A circuit breaking protocol and binary operators,Deferred
0527,PEP 527 – Removing Un(der)used file types/extensions on PyPI,Final
0526,PEP 526 – Syntax for Variable Annotations,Final
0528,PEP 528 – Change Windows console encoding to UTF-8,Final
0525,PEP 525 – Asynchronous Generators,Final
0524,PEP 524 – Make os.urandom() blocking on Linux,Final
0523,PEP 523 – Adding a frame evaluation API to CPython,Final
0521,PEP 521 – Managing global context via ‘with’ blocks in generators and coroutines,Withdrawn
0522,PEP 522 – Allow BlockingIOError in security sensitive APIs,Rejected
0519,PEP 519 – Adding a file system path protocol,Final
0520,PEP 520 – Preserving Class Attribute Definition Order,Final
0518,PEP 518 – Specifying Minimum Build System Requirements for Python Projects,Final
0517,PEP 517 – A build-system independent format for source trees,Final
0516,PEP 516 – Build system abstraction for pip/conda etc,Rejected
0515,PEP 515 – Underscores in Numeric Literals,Final
0512,PEP 512 – Migrating from hg.python.org to GitHub,Final
0514,PEP 514 – Python registration in the Windows registry,Active
0511,PEP 511 – API for code transformers,Rejected
0510,PEP 510 – Specialize functions with guards,Rejected
0513,PEP 513 – A Platform Tag for Portable Linux Built Distributions,Superseded
0508,PEP 508 – Dependency specification for Python Software Packages,Final
0507,PEP 507 – Migrate CPython to Git and GitLab,Rejected
0509,PEP 509 – Add a private version to dict,Superseded
0506,PEP 506 – Adding A Secrets Module To The Standard Library,Final
0502,PEP 502 – String Interpolation - Extended Discussion,Rejected
0503,PEP 503 – Simple Repository API,Final
0504,PEP 504 – Using the System RNG by default,Withdrawn
0505,PEP 505 – None-aware operators,Deferred
0501,PEP 501 – General purpose string interpolation,Deferred
0499,PEP 499 – ,Deferred
0500,PEP 500 – A protocol for delegating datetime methods to their tzinfo implementations,Rejected
0498,PEP 498 – Literal String Interpolation,Final
0497,PEP 497 – A standard mechanism for backward compatibility,Rejected
0495,PEP 495 – Local Time Disambiguation,Final
0496,PEP 496 – Environment Markers,Rejected
0494,PEP 494 – Python 3.6 Release Schedule,Final
0491,PEP 491 – The Wheel Binary Package Format 1.9,Deferred
0493,PEP 493 – HTTPS verification migration tools for Python 2.7,Final
0489,PEP 489 – Multi-phase extension module initialization,Final
0490,PEP 490 – Chain exceptions at C level,Rejected
0492,PEP 492 – Coroutines with async and await syntax,Final
0486,PEP 486 – Make the Python Launcher aware of virtual environments,Final
0487,PEP 487 – Simpler customisation of class creation,Final
0488,PEP 488 – Elimination of PYO files,Final
0485,PEP 485 – A Function for testing approximate equality,Final
0482,PEP 482 – Literature Overview for Type Hints,Final
0484,PEP 484 – Type Hints,Final
0483,PEP 483 – The Theory of Type Hints,Final
0481,"PEP 481 – Migrate CPython to Git, Github, and Phabricator",Withdrawn
0479,PEP 479 – Change StopIteration handling inside generators,Final
0478,PEP 478 – Python 3.5 Release Schedule,Final
0480,PEP 480 – Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
0476,PEP 476 – Enabling certificate verification by default for stdlib http clients,Final
0477,PEP 477 – Backport ensurepip (PEP 453) to Python 2.7,Final
0475,PEP 475 – Retry system calls failing with EINTR,Final
0473,PEP 473 – Adding structured data to built-in exceptions,Rejected
0474,PEP 474 – Creating forge.python.org,Withdrawn
0471,PEP 471 – os.scandir() function – a better and faster directory iterator,Final
0470,PEP 470 – Removing External Hosting Support on PyPI,Final
0472,PEP 472 – Support for indexing with keyword arguments,Rejected
0469,PEP 469 – Migration of dict iteration code to Python 3,Withdrawn
0467,PEP 467 – Minor API improvements for binary sequences,Draft
0468,PEP 468 – Preserving the order of **kwargs in a function.,Final
0465,PEP 465 – A dedicated infix operator for matrix multiplication,Final
0464,PEP 464 – Removal of the PyPI Mirror Authenticity API,Final
0466,PEP 466 – Network Security Enhancements for Python 2.7.x,Final
0463,PEP 463 – Exception-catching expressions,Rejected
0462,PEP 462 – Core development workflow automation for CPython,Withdrawn
0461,PEP 461 – Adding % formatting to bytes and bytearray,Final
0460,PEP 460 – Add binary interpolation and formatting,Withdrawn
0459,PEP 459 – Standard Metadata Extensions for Python Software Packages,Withdrawn
0458,PEP 458 – Secure PyPI downloads with signed repository metadata,Accepted
0456,PEP 456 – Secure and interchangeable hash algorithm,Final
0457,PEP 457 – Notation For Positional-Only Parameters,Final
0455,PEP 455 – Adding a key-transforming dictionary to collections,Rejected
0454,PEP 454 – Add a new tracemalloc module to trace Python memory allocations,Final
0453,PEP 453 – Explicit bootstrapping of pip in Python installations,Final
0452,PEP 452 – API for Cryptographic Hash Functions v2.0,Final
0450,PEP 450 – Adding A Statistics Module To The Standard Library,Final
0448,PEP 448 – Additional Unpacking Generalizations,Final
0449,PEP 449 – Removal of the PyPI Mirror Auto Discovery and Naming Scheme,Final
0451,PEP 451 – A ModuleSpec Type for the Import System,Final
0446,PEP 446 – Make newly created file descriptors non-inheritable,Final
0447,PEP 447 – Add __getdescriptor__ method to metaclass,Deferred
0445,PEP 445 – Add new APIs to customize Python memory allocators,Final
0444,PEP 444 – Python Web3 Interface,Deferred
0443,PEP 443 – Single-dispatch generic functions,Final
0442,PEP 442 – Safe object finalization,Final
0441,PEP 441 – Improving Python ZIP Application Support,Final
0440,PEP 440 – Version Identification and Dependency Specification,Final
0439,PEP 439 – Inclusion of implicit pip bootstrap in Python installation,Rejected
0438,PEP 438 – Transitioning to release-file hosting on PyPI,Superseded
0437,"PEP 437 – A DSL for specifying signatures, annotations and argument converters",Rejected
0436,PEP 436 – The Argument Clinic DSL,Final
0434,PEP 434 – IDLE Enhancement Exception for All Branches,Active
0435,PEP 435 – Adding an Enum type to the Python standard library,Final
0433,PEP 433 – Easier suppression of file descriptor inheritance,Superseded
0430,PEP 430 – Migrating to Python 3 as the default online documentation,Final
0432,PEP 432 – Restructuring the CPython startup sequence,Withdrawn
0431,PEP 431 – Time zone support improvements,Superseded
0429,PEP 429 – Python 3.4 Release Schedule,Final
0428,PEP 428 – The pathlib module – object-oriented filesystem paths,Final
0427,PEP 427 – The Wheel Binary Package Format 1.0,Final
0425,PEP 425 – Compatibility Tags for Built Distributions,Final
0426,PEP 426 – Metadata for Python Software Packages 2.0,Withdrawn
0424,PEP 424 – A method for exposing a length hint,Final
0423,PEP 423 – Naming conventions and recipes related to packaging,Deferred
0422,PEP 422 – Simpler customisation of class creation,Withdrawn
0421,PEP 421 – Adding sys.implementation,Final
0420,PEP 420 – Implicit Namespace Packages,Final
0419,PEP 419 – Protecting cleanup statements from interruptions,Deferred
0417,PEP 417 – Including mock in the Standard Library,Final
0418,"PEP 418 – Add monotonic time, performance counter, and process time functions",Final
0415,PEP 415 – Implement context suppression with exception attributes,Final
0414,PEP 414 – Explicit Unicode Literal for Python 3.3,Final
0416,PEP 416 – Add a frozendict builtin type,Rejected
0413,PEP 413 – Faster evolution of the Python Standard Library,Withdrawn
0411,PEP 411 – Provisional packages in the Python standard library,Superseded
0412,PEP 412 – Key-Sharing Dictionary,Final
0410,PEP 410 – Use decimal.Decimal type for timestamps,Rejected
0409,PEP 409 – Suppressing exception context,Final
0406,PEP 406 – Improved Encapsulation of Import State,Withdrawn
0407,PEP 407 – New release cycle and introducing long-term support versions,Deferred
0408,PEP 408 – Standard library __preview__ package,Rejected
0405,PEP 405 – Python Virtual Environments,Final
0403,PEP 403 – General purpose decorator clause (aka “@in” clause),Deferred
0402,PEP 402 – Simplified Package Layout and Partitioning,Rejected
0401,PEP 401 – BDFL Retirement,April Fool!
0404,PEP 404 – Python 2.8 Un-release Schedule,Final
0399,PEP 399 – Pure Python/C Accelerator Module Compatibility Requirements,Final
0400,PEP 400 – Deprecate codecs.StreamReader and codecs.StreamWriter,Deferred
0398,PEP 398 – Python 3.3 Release Schedule,Final
0397,PEP 397 – Python launcher for Windows,Final
0395,PEP 395 – Qualified Names for Modules,Withdrawn
0393,PEP 393 – Flexible String Representation,Final
0396,PEP 396 – Module Version Numbers,Rejected
0394,PEP 394 – The “python” Command on Unix-Like Systems,Active
0392,PEP 392 – Python 3.2 Release Schedule,Final
0391,PEP 391 – Dictionary-Based Configuration For Logging,Final
0390,PEP 390 – Static metadata for Distutils,Rejected
0389,PEP 389 – argparse - New Command Line Parsing Module,Final
0384,PEP 384 – Defining a Stable ABI,Final
0386,PEP 386 – Changing the version comparison module in Distutils,Superseded
0387,PEP 387 – Backwards Compatibility Policy,Active
0385,PEP 385 – Migrating from Subversion to Mercurial,Final
0383,PEP 383 – Non-decodable Bytes in System Character Interfaces,Final
0382,PEP 382 – Namespace Packages,Rejected
0381,PEP 381 – Mirroring infrastructure for PyPI,Withdrawn
0380,PEP 380 – Syntax for Delegating to a Subgenerator,Final
0377,PEP 377 – Allow __enter__() methods to skip the statement body,Rejected
0379,PEP 379 – Adding an Assignment Expression,Withdrawn
0376,PEP 376 – Database of Installed Python Distributions,Final
0378,PEP 378 – Format Specifier for Thousands Separator,Final
0375,PEP 375 – Python 3.1 Release Schedule,Final
0374,PEP 374 – Choosing a distributed VCS for the Python project,Final
0373,PEP 373 – Python 2.7 Release Schedule,Final
0372,PEP 372 – Adding an ordered dictionary to collections,Final
0371,PEP 371 – Addition of the multiprocessing package to the standard library,Final
0370,PEP 370 – Per user site-packages directory,Final
0369,PEP 369 – Post import hooks,Withdrawn
0368,PEP 368 – Standard image protocol and class,Deferred
0367,PEP 367 – New Super,Superseded
0366,PEP 366 – Main module explicit relative imports,Final
0365,PEP 365 – Adding the pkg_resources module,Rejected
0364,PEP 364 – Transitioning to the Py3K Standard Library,Withdrawn
0362,PEP 362 – Function Signature Object,Final
0363,PEP 363 – Syntax For Dynamic Attribute Access,Rejected
0361,PEP 361 – Python 2.6 and 3.0 Release Schedule,Final
0360,PEP 360 – Externally Maintained Packages,Final
0359,PEP 359 – The “make” Statement,Withdrawn
0358,PEP 358 – The “bytes” Object,Final
0357,PEP 357 – Allowing Any Object to be Used for Slicing,Final
0356,PEP 356 – Python 2.5 Release Schedule,Final
0353,PEP 353 – Using ssize_t as the index type,Final
0354,PEP 354 – Enumerations in Python,Superseded
0352,PEP 352 – Required Superclass for Exceptions,Final
0355,PEP 355 – Path - Object oriented filesystem paths,Rejected
0351,PEP 351 – The freeze protocol,Rejected
